"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"Avrainvillea lacerata"	"S"	575871	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Udoteaceae>Avrainvillea"
"Rhipidosiphon"	"G"	575865	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Udoteaceae"
"Rhipidosiphon javensis"	"S"	575866	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Udoteaceae>Rhipidosiphon"
"Derbesiaceae"	"F"	33105	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales"
"Derbesia"	"G"	33106	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Derbesiaceae"
"Derbesia sp. WEST4838"	"S"	1847751	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>TCBD&nbsp;clade>Bryopsidales>Derbesiaceae>Derbesia"
"Ulvophyceae incertae sedis"	"-"	97100	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae"
"Oltmannsiellopsis"	"G"	51323	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>Ulvophyceae&nbsp;incertae&nbsp;sedis"
"Oltmannsiellopsis viridis"	"S"	51324	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>Ulvophyceae&nbsp;incertae&nbsp;sedis>Oltmannsiellopsis"
"Chlamydomonas reinhardtii"	"S"	3055	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales>Chlamydomonadaceae>Chlamydomonas"
"Dunaliellaceae"	"F"	3043	4	NA	NA	NA	NA	4	1	NA	2	NA	NA	NA	0.001616	NA	NA	NA	NA	0.001616	0.0003595	NA	0.0007469	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales"
"Dunaliella"	"G"	3044	3	NA	NA	NA	NA	3	1	NA	1	NA	NA	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales>Dunaliellaceae"
"environmental samples"	"-"	309163	3	NA	NA	NA	NA	3	1	NA	1	NA	NA	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales>Dunaliellaceae>Dunaliella"
"uncultured Dunaliella sp."	"S"	309164	3	NA	NA	NA	NA	3	1	NA	1	NA	NA	NA	0.001212	NA	NA	NA	NA	0.001212	0.0003595	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales>Dunaliellaceae>Dunaliella>environmental&nbsp;samples"
"Hafniomonas"	"G"	51321	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales>Dunaliellaceae"
"Hafniomonas laevis"	"S"	436124	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Chlamydomonadales>Dunaliellaceae>Hafniomonas"
"Sphaeropleales"	"O"	35491	5	NA	NA	NA	NA	5	2	NA	3	NA	2	NA	0.002021	NA	NA	NA	NA	0.002021	0.000719	NA	0.00112	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae"
"Neochloridaceae"	"F"	132191	5	NA	NA	NA	NA	5	2	NA	3	NA	1	NA	0.002021	NA	NA	NA	NA	0.002021	0.000719	NA	0.00112	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Sphaeropleales"
"Chlorotetraedron"	"G"	162316	3	NA	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.001212	NA	NA	NA	NA	0.001212	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Sphaeropleales>Neochloridaceae"
"Chlorotetraedron incus"	"S"	162317	3	NA	NA	NA	NA	3	NA	NA	NA	NA	1	NA	0.001212	NA	NA	NA	NA	0.001212	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Sphaeropleales>Neochloridaceae>Chlorotetraedron"
"Neochloris"	"G"	3098	3	NA	NA	NA	NA	2	2	NA	3	NA	NA	NA	0.00112	NA	NA	NA	NA	0.0008082	0.000719	NA	0.00112	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Sphaeropleales>Neochloridaceae"
"Neochloris aquatica"	"S"	3099	3	NA	NA	NA	NA	2	2	NA	3	NA	NA	NA	0.00112	NA	NA	NA	NA	0.0008082	0.000719	NA	0.00112	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>Sphaeropleales>Neochloridaceae>Neochloris"
"OCC clade"	"-"	2546211	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae"
"Chaetopeltidales"	"O"	51325	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>OCC&nbsp;clade"
"Chaetopeltidaceae"	"F"	51326	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>OCC&nbsp;clade>Chaetopeltidales"
"Floydiella"	"G"	304582	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>OCC&nbsp;clade>Chaetopeltidales>Chaetopeltidaceae"
"Floydiella terrestris"	"S"	51328	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorophyceae>OCC&nbsp;clade>Chaetopeltidales>Chaetopeltidaceae>Floydiella"
"Chlorella sp. ArM0029B"	"S"	1415603	1	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae>Chlorella&nbsp;clade>Chlorella>unclassified&nbsp;Chlorella"
"Chlorella variabilis"	"S"	554065	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae>Chlorella&nbsp;clade>Chlorella"
"Prototheca stagnorum"	"S"	215448	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae>Prototheca"
"Auxenochlorella"	"G"	191392	2	NA	NA	NA	NA	1	1	1	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	0.000248	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae"
"Auxenochlorella protothecoides"	"S"	3075	1	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	0.000248	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Chlorellaceae>Auxenochlorella"
"environmental samples"	"-"	317902	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales"
"uncultured Closteriopsis"	"S"	1476389	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>environmental&nbsp;samples"
"Oocystaceae"	"F"	3070	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales"
"Oocystaceae incertae sedis"	"-"	2072600	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Oocystaceae"
"Planctonema"	"G"	163319	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Oocystaceae>Oocystaceae&nbsp;incertae&nbsp;sedis"
"Planctonema lauterbornii"	"S"	415190	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Chlorellales>Oocystaceae>Oocystaceae&nbsp;incertae&nbsp;sedis>Planctonema"
"Neocystis"	"G"	1065495	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis"
"Neocystis brevis"	"S"	1065496	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis>Neocystis"
"Pseudochloris"	"G"	1418015	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis"
"Pseudochloris wilhelmii"	"S"	1418016	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Trebouxiophyceae&nbsp;incertae&nbsp;sedis>Pseudochloris"
"Prasiolales"	"O"	135250	3	NA	NA	NA	NA	1	2	NA	3	NA	2	NA	0.00112	NA	NA	NA	NA	0.0004041	0.000719	NA	0.00112	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae"
"Prasiolaceae"	"F"	135266	2	NA	NA	NA	NA	1	2	NA	2	NA	1	NA	0.0007469	NA	NA	NA	NA	0.0004041	0.000719	NA	0.0007469	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Prasiolales"
"Edaphochlorella"	"G"	1940604	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Prasiolales>Prasiolaceae"
"Edaphochlorella mirabilis"	"S"	3083	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Trebouxiophyceae>Prasiolales>Prasiolaceae>Edaphochlorella"
"environmental samples"	"-"	77633	11	NA	NA	NA	NA	11	11	NA	8	NA	4	NA	0.004445	NA	NA	NA	NA	0.004445	0.003955	NA	0.002988	NA	0.001612	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta"
"uncultured Chlorophyta"	"S"	171245	11	NA	NA	NA	NA	11	11	NA	8	NA	4	NA	0.004445	NA	NA	NA	NA	0.004445	0.003955	NA	0.002988	NA	0.001612	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>environmental&nbsp;samples"
"Nephroselmidophyceae"	"C"	1242998	4	NA	NA	NA	NA	4	NA	NA	1	NA	3	NA	0.001616	NA	NA	NA	NA	0.001616	NA	NA	0.0003734	NA	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta"
"Nephroselmis"	"G"	31311	4	NA	NA	NA	NA	4	NA	NA	1	NA	3	NA	0.001616	NA	NA	NA	NA	0.001616	NA	NA	0.0003734	NA	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Nephroselmidophyceae"
"Nephroselmis pyriformis"	"S"	156128	4	NA	NA	NA	NA	4	NA	NA	1	NA	2	NA	0.001616	NA	NA	NA	NA	0.001616	NA	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Nephroselmidophyceae>Nephroselmis"
"Pedinophyceae"	"C"	35422	7	NA	NA	NA	NA	2	1	NA	1	NA	7	NA	0.002821	NA	NA	NA	NA	0.0008082	0.0003595	NA	0.0003734	NA	0.002821	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta"
"Marsupiomonadales"	"O"	1535297	2	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Pedinophyceae"
"Marsupiomonadaceae"	"F"	1535298	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Pedinophyceae>Marsupiomonadales"
"Marsupiomonas"	"G"	354440	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Pedinophyceae>Marsupiomonadales>Marsupiomonadaceae"
"Marsupiomonas pelliculata"	"S"	1034818	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Pedinophyceae>Marsupiomonadales>Marsupiomonadaceae>Marsupiomonas"
"Mamiellophyceae"	"C"	1035538	2	NA	NA	NA	NA	2	1	NA	NA	NA	2	NA	0.0008082	NA	NA	NA	NA	0.0008082	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta"
"Mamiellales"	"O"	13792	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae"
"Bathycoccaceae"	"F"	1525212	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae>Mamiellales"
"Bathycoccus"	"G"	41874	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae>Mamiellales>Bathycoccaceae"
"Bathycoccus prasinos"	"S"	41875	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae>Mamiellales>Bathycoccaceae>Bathycoccus"
"Monomastigales"	"O"	1525214	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae"
"Monomastigaceae"	"F"	1525215	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae>Monomastigales"
"Monomastix"	"G"	141715	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae>Monomastigales>Monomastigaceae"
"Monomastix sp. OKE-1"	"S"	141716	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	0.0004041	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Mamiellophyceae>Monomastigales>Monomastigaceae>Monomastix"
"Chlorodendrophyceae"	"C"	1524962	4	NA	NA	NA	NA	2	4	NA	1	NA	NA	NA	0.001438	NA	NA	NA	NA	0.0008082	0.001438	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta"
"Chlorodendrales"	"O"	35426	4	NA	NA	NA	NA	2	4	NA	1	NA	NA	NA	0.001438	NA	NA	NA	NA	0.0008082	0.001438	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorodendrophyceae"
"Chlorodendraceae"	"F"	35429	4	NA	NA	NA	NA	2	4	NA	1	NA	NA	NA	0.001438	NA	NA	NA	NA	0.0008082	0.001438	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorodendrophyceae>Chlorodendrales"
"Scherffelia"	"G"	3189	2	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorodendrophyceae>Chlorodendrales>Chlorodendraceae"
"Scherffelia dubia"	"S"	3190	2	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	0.0008082	NA	NA	NA	NA	0.0008082	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Chlorophyta>Chlorodendrophyceae>Chlorodendrales>Chlorodendraceae>Scherffelia"
"Polyneoptera"	"-"	33341	4	NA	NA	NA	NA	3	3	NA	4	1	3	NA	0.001494	NA	NA	NA	NA	0.001212	0.001079	NA	0.001494	0.0002742	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera"
"Dictyoptera"	"-"	6970	3	NA	NA	NA	NA	3	3	NA	3	1	3	NA	0.001212	NA	NA	NA	NA	0.001212	0.001079	NA	0.00112	0.0002742	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Polyneoptera"
"Blattodea"	"O"	85823	3	NA	NA	NA	NA	3	3	NA	3	1	3	NA	0.001212	NA	NA	NA	NA	0.001212	0.001079	NA	0.00112	0.0002742	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Polyneoptera>Dictyoptera"
"Blattoidea"	"-"	1049657	3	NA	NA	NA	NA	2	2	NA	2	1	3	NA	0.001209	NA	NA	NA	NA	0.0008082	0.000719	NA	0.0007469	0.0002742	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Polyneoptera>Dictyoptera>Blattodea"
"Termitoidae"	"-"	1912919	3	NA	NA	NA	NA	2	2	NA	2	1	3	NA	0.001209	NA	NA	NA	NA	0.0008082	0.000719	NA	0.0007469	0.0002742	0.001209	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Polyneoptera>Dictyoptera>Blattodea>Blattoidea"
"Rhinotermitidae"	"F"	36985	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Polyneoptera>Dictyoptera>Blattodea>Blattoidea>Termitoidae"
"Coptotermitinae"	"-"	72653	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	0.0008059	NA	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Polyneoptera>Dictyoptera>Blattodea>Blattoidea>Termitoidae>Rhinotermitidae"
