"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Erythrobacter"	"G"	1041	104	26	NA	10	1	104	NA	4	1	NA	54	NA	0.9174	0.01296	NA	0.00613	0.625	0.05347	NA	0.002199	0.9174	NA	0.05934	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Erythrobacter atlanticus"	"S"	1648404	59	12	NA	5	NA	59	NA	4	NA	NA	22	NA	0.03034	0.005984	NA	0.003065	NA	0.03034	NA	0.002199	NA	NA	0.02418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter"
"Erythrobacter flavus"	"S"	192812	4	4	NA	1	NA	3	NA	NA	1	NA	4	NA	0.9174	0.001995	NA	0.000613	NA	0.001543	NA	NA	0.9174	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter"
"Erythrobacter gangjinensis"	"S"	502682	32	2	NA	2	NA	32	NA	NA	NA	NA	11	NA	0.01645	0.0009973	NA	0.001226	NA	0.01645	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter"
"Croceicoccus"	"G"	1295327	12	7	NA	1	NA	12	NA	NA	NA	NA	11	NA	0.01209	0.00349	NA	0.000613	NA	0.00617	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Croceicoccus naphthovorans"	"S"	1348774	4	4	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.003297	0.001995	NA	NA	NA	NA	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Croceicoccus"
"Croceicoccus marinus"	"S"	450378	11	3	NA	NA	NA	11	NA	NA	NA	NA	7	NA	0.007692	0.001496	NA	NA	NA	0.005656	NA	NA	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Croceicoccus"
"Porphyrobacter"	"G"	1111	11	2	NA	3	NA	11	NA	NA	NA	NA	5	NA	0.005656	0.0009973	NA	0.001839	NA	0.005656	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Porphyrobacter sp. LM 6"	"S"	1896196	4	1	NA	NA	NA	3	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	NA	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Porphyrobacter"
"Rickettsiales"	"O"	766	883	883	25	739	NA	722	NA	129	NA	NA	163	NA	0.453	0.4403	0.339	0.453	NA	0.3712	NA	0.07091	NA	NA	0.1791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Anaplasmataceae"	"F"	942	668	668	21	547	NA	574	NA	104	NA	NA	131	NA	0.3353	0.3331	0.2848	0.3353	NA	0.2951	NA	0.05717	NA	NA	0.144	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Wolbachieae"	"-"	952	586	586	19	478	NA	460	NA	61	NA	NA	91	NA	0.293	0.2922	0.2577	0.293	NA	0.2365	NA	0.03353	NA	NA	0.1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Wolbachia"	"G"	953	586	586	19	478	NA	460	NA	61	NA	NA	91	NA	0.293	0.2922	0.2577	0.293	NA	0.2365	NA	0.03353	NA	NA	0.1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae"
"Wolbachia endosymbiont of Drosophila simulans"	"S"	77038	12	12	NA	11	NA	10	NA	NA	NA	NA	2	NA	0.006742	0.005984	NA	0.006742	NA	0.005142	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Wolbachia endosymbiont of Brugia malayi"	"S"	80849	7	1	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0.003848	0.0004986	NA	NA	NA	NA	NA	0.003848	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Wolbachia endosymbiont of Drosophila melanogaster"	"S"	163164	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Wolbachia endosymbiont of Cimex lectularius"	"S"	246273	5	1	NA	1	NA	5	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Neorickettsia"	"G"	33993	31	15	1	9	NA	31	NA	1	NA	NA	19	NA	0.02088	0.00748	0.01356	0.005517	NA	0.01594	NA	0.0005497	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"Neorickettsia helminthoeca"	"S"	33994	9	3	NA	1	NA	9	NA	NA	NA	NA	5	NA	0.005494	0.001496	NA	0.000613	NA	0.004628	NA	NA	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Neorickettsia"
"Ehrlichia"	"G"	943	11	5	NA	4	NA	11	NA	5	NA	NA	3	NA	0.005656	0.002493	NA	0.002452	NA	0.005656	NA	0.002748	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"canis group"	"S"	106178	8	4	NA	4	NA	8	NA	4	NA	NA	2	NA	0.004113	0.001995	NA	0.002452	NA	0.004113	NA	0.002199	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Ehrlichia"
"Anaplasma"	"G"	768	7	2	1	2	NA	7	NA	7	NA	NA	4	NA	0.01356	0.0009973	0.01356	0.001226	NA	0.003599	NA	0.003848	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae"
"phagocytophilum group"	"S"	106179	2	2	NA	1	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Anaplasma"
"Anaplasma phagocytophilum"	"S"	948	2	2	NA	1	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Anaplasma>phagocytophilum&nbsp;group"
"Rickettsiaceae"	"F"	775	129	129	1	119	NA	80	NA	16	NA	NA	18	NA	0.07294	0.06432	0.01356	0.07294	NA	0.04113	NA	0.008795	NA	NA	0.01978	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Rickettsieae"	"-"	33988	89	89	1	78	NA	59	NA	13	NA	NA	12	NA	0.04781	0.04438	0.01356	0.04781	NA	0.03034	NA	0.007146	NA	NA	0.01319	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Rickettsia"	"G"	780	78	78	1	65	NA	52	NA	9	NA	NA	7	NA	0.03984	0.03889	0.01356	0.03984	NA	0.02674	NA	0.004947	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae"
"spotted fever group"	"S"	114277	70	70	1	60	NA	46	NA	4	NA	NA	1	NA	0.03678	0.0349	0.01356	0.03678	NA	0.02365	NA	0.002199	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia"
"Rickettsia amblyommatis"	"S"	33989	56	56	1	45	NA	40	NA	NA	NA	NA	1	NA	0.02792	0.02792	0.01356	0.02758	NA	0.02057	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>spotted&nbsp;fever&nbsp;group"
"Rickettsia akari"	"S"	786	11	10	NA	11	NA	5	NA	1	NA	NA	NA	NA	0.006742	0.004986	NA	0.006742	NA	0.002571	NA	0.0005497	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>spotted&nbsp;fever&nbsp;group"
"Rickettsia australis"	"S"	787	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>spotted&nbsp;fever&nbsp;group"
"Rickettsia monacensis"	"S"	109232	3	1	NA	2	NA	1	NA	3	NA	NA	NA	NA	0.001649	0.0004986	NA	0.001226	NA	0.0005142	NA	0.001649	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>spotted&nbsp;fever&nbsp;group"
"Rickettsia philipii"	"S"	1105106	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>spotted&nbsp;fever&nbsp;group"
"belli group"	"S"	1129742	2	2	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001099	0.0009973	NA	NA	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia"
"Rickettsia canadensis"	"S"	788	1	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>belli&nbsp;group"
"Rickettsia bellii"	"S"	33990	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>belli&nbsp;group"
"Orientia"	"G"	69474	4	2	NA	3	NA	4	NA	4	NA	NA	4	NA	0.004396	0.0009973	NA	0.001839	NA	0.002057	NA	0.002199	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae"
"Orientia tsutsugamushi"	"S"	784	4	2	NA	3	NA	4	NA	4	NA	NA	4	NA	0.004396	0.0009973	NA	0.001839	NA	0.002057	NA	0.002199	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Orientia"
"Candidatus Phycorickettsia"	"G"	2115980	41	39	NA	41	NA	21	NA	3	NA	NA	6	NA	0.02513	0.01945	NA	0.02513	NA	0.0108	NA	0.001649	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae"
"Candidatus Phycorickettsia trachydisci"	"S"	2115978	41	39	NA	41	NA	21	NA	3	NA	NA	6	NA	0.02513	0.01945	NA	0.02513	NA	0.0108	NA	0.001649	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Candidatus&nbsp;Phycorickettsia"
"Candidatus Midichloriaceae"	"F"	1328881	38	38	2	38	NA	33	NA	4	NA	NA	7	NA	0.02712	0.01895	0.02712	0.02329	NA	0.01697	NA	0.002199	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"Candidatus Midichloria"	"G"	411566	38	38	2	38	NA	33	NA	4	NA	NA	7	NA	0.02712	0.01895	0.02712	0.02329	NA	0.01697	NA	0.002199	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Candidatus&nbsp;Midichloriaceae"
"Candidatus Midichloria mitochondrii"	"S"	234827	38	38	2	38	NA	33	NA	4	NA	NA	7	NA	0.02712	0.01895	0.02712	0.02329	NA	0.01697	NA	0.002199	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Candidatus&nbsp;Midichloriaceae>Candidatus&nbsp;Midichloria"
"unclassified Rickettsiales"	"-"	210592	25	25	1	11	NA	19	NA	3	NA	NA	5	NA	0.01356	0.01247	0.01356	0.006742	NA	0.009769	NA	0.001649	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales"
"unclassified Rickettsiales (miscellaneous)"	"-"	1699067	25	25	1	11	NA	19	NA	3	NA	NA	5	NA	0.01356	0.01247	0.01356	0.006742	NA	0.009769	NA	0.001649	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>unclassified&nbsp;Rickettsiales"
"Rickettsiales bacterium Ac37b"	"S"	1528098	25	25	1	11	NA	19	NA	3	NA	NA	5	NA	0.01356	0.01247	0.01356	0.006742	NA	0.009769	NA	0.001649	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>unclassified&nbsp;Rickettsiales>unclassified&nbsp;Rickettsiales&nbsp;(miscellaneous)"
"Rhodospirillales"	"O"	204441	383	291	16	167	1	383	1	243	1	1	241	NA	1.754	0.1451	0.217	0.1024	0.625	0.1969	0.6757	0.1336	0.9174	1.754	0.2648	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodospirillaceae"	"F"	41295	298	230	13	126	NA	298	1	220	NA	1	184	NA	1.754	0.1147	0.1763	0.07723	NA	0.1532	0.6757	0.1209	NA	1.754	0.2022	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Pararhodospirillum"	"G"	1612157	122	74	8	39	NA	122	NA	4	NA	NA	75	NA	0.1085	0.0369	0.1085	0.02391	NA	0.06273	NA	0.002199	NA	NA	0.08242	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Pararhodospirillum photometricum"	"S"	1084	122	74	8	39	NA	122	NA	4	NA	NA	75	NA	0.1085	0.0369	0.1085	0.02391	NA	0.06273	NA	0.002199	NA	NA	0.08242	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Pararhodospirillum"
"Nitrospirillum"	"G"	1543705	44	44	2	19	NA	34	NA	3	NA	NA	13	NA	0.02712	0.02194	0.02712	0.01165	NA	0.01748	NA	0.001649	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Nitrospirillum amazonense"	"S"	28077	44	44	2	19	NA	34	NA	3	NA	NA	13	NA	0.02712	0.02194	0.02712	0.01165	NA	0.01748	NA	0.001649	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Nitrospirillum"
"Azospirillum"	"G"	191	23	22	NA	19	NA	23	1	12	NA	NA	15	NA	0.6757	0.01097	NA	0.01165	NA	0.01183	0.6757	0.006596	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Azospirillum thiophilum"	"S"	528244	17	17	NA	16	NA	13	NA	NA	NA	NA	2	NA	0.009807	0.008477	NA	0.009807	NA	0.006684	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Azospirillum"
"Azospirillum brasilense"	"S"	192	5	4	NA	1	NA	5	1	1	NA	NA	5	NA	0.6757	0.001995	NA	0.000613	NA	0.002571	0.6757	0.0005497	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Azospirillum"
"Azospirillum lipoferum"	"S"	193	11	1	NA	NA	NA	3	NA	11	NA	NA	3	NA	0.006046	0.0004986	NA	NA	NA	0.001543	NA	0.006046	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Azospirillum"
"Magnetospira"	"G"	1182780	20	18	NA	10	NA	18	NA	20	NA	NA	2	NA	0.01099	0.008975	NA	0.00613	NA	0.009255	NA	0.01099	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Magnetospira sp. QH-2"	"S"	1288970	20	18	NA	10	NA	18	NA	20	NA	NA	2	NA	0.01099	0.008975	NA	0.00613	NA	0.009255	NA	0.01099	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Magnetospira"
"Magnetospirillum"	"G"	13134	26	16	2	10	NA	26	NA	1	NA	1	25	NA	1.754	0.007978	0.02712	0.00613	NA	0.01337	NA	0.0005497	NA	1.754	0.02747	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Magnetospirillum gryphiswaldense"	"S"	55518	8	5	1	4	NA	8	NA	NA	NA	NA	8	NA	0.01356	0.002493	0.01356	0.002452	NA	0.004113	NA	NA	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Magnetospirillum"
"Magnetospirillum magneticum"	"S"	84159	4	2	NA	1	NA	4	NA	NA	NA	NA	1	NA	0.002057	0.0009973	NA	0.000613	NA	0.002057	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Magnetospirillum"
"Magnetospirillum sp. XM-1"	"S"	1663591	4	1	NA	4	NA	1	NA	NA	NA	NA	1	NA	0.002452	0.0004986	NA	0.002452	NA	0.0005142	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Magnetospirillum"
"Thalassospira"	"G"	168934	13	13	NA	8	NA	11	NA	11	NA	NA	6	NA	0.006593	0.006482	NA	0.004904	NA	0.005656	NA	0.006046	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Thalassospira xiamenensis"	"S"	220697	3	2	NA	3	NA	2	NA	1	NA	NA	2	NA	0.002198	0.0009973	NA	0.001839	NA	0.001028	NA	0.0005497	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Thalassospira"
"Thalassospira sp. CSC3H3"	"S"	2048283	2	2	NA	NA	NA	1	NA	2	NA	NA	2	NA	0.002198	0.0009973	NA	NA	NA	0.0005142	NA	0.001099	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Thalassospira"
"Candidatus Endolissoclinum"	"G"	1263978	28	10	NA	5	NA	9	NA	28	NA	NA	4	NA	0.01539	0.004986	NA	0.003065	NA	0.004628	NA	0.01539	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Candidatus Endolissoclinum faulkneri"	"S"	1263979	28	10	NA	5	NA	9	NA	28	NA	NA	4	NA	0.01539	0.004986	NA	0.003065	NA	0.004628	NA	0.01539	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Candidatus&nbsp;Endolissoclinum"
"Niveispirillum"	"G"	1543704	17	10	NA	2	NA	17	NA	1	NA	NA	13	NA	0.01429	0.004986	NA	0.001226	NA	0.008741	NA	0.0005497	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Niveispirillum cyanobacteriorum"	"S"	1612173	17	10	NA	2	NA	17	NA	1	NA	NA	13	NA	0.01429	0.004986	NA	0.001226	NA	0.008741	NA	0.0005497	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Niveispirillum"
"Rhodospirillum"	"G"	1081	33	6	NA	2	NA	8	NA	33	NA	NA	11	NA	0.01814	0.002992	NA	0.001226	NA	0.004113	NA	0.01814	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Rhodospirillum centenum"	"S"	34018	33	5	NA	1	NA	3	NA	33	NA	NA	9	NA	0.01814	0.002493	NA	0.000613	NA	0.001543	NA	0.01814	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Rhodospirillum"
"Rhodospirillum rubrum"	"S"	1085	5	1	NA	1	NA	5	NA	NA	NA	NA	2	NA	0.002571	0.0004986	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Rhodospirillum"
"Tistrella"	"G"	171436	97	6	NA	3	NA	5	NA	97	NA	NA	6	NA	0.05332	0.002992	NA	0.001839	NA	0.002571	NA	0.05332	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Tistrella mobilis"	"S"	171437	97	6	NA	3	NA	5	NA	97	NA	NA	6	NA	0.05332	0.002992	NA	0.001839	NA	0.002571	NA	0.05332	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Tistrella"
"Haematospirillum"	"G"	1804663	5	2	NA	2	NA	4	NA	4	NA	NA	5	NA	0.005494	0.0009973	NA	0.001226	NA	0.002057	NA	0.002199	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae"
"Haematospirillum jordaniae"	"S"	1549855	5	2	NA	2	NA	4	NA	4	NA	NA	5	NA	0.005494	0.0009973	NA	0.001226	NA	0.002057	NA	0.002199	NA	NA	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Haematospirillum"
"Acetobacteraceae"	"F"	433	85	61	3	41	1	85	NA	23	1	NA	57	NA	0.9174	0.03042	0.04068	0.02513	0.625	0.04371	NA	0.01264	0.9174	NA	0.06264	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales"
"Acidiphilium"	"G"	522	25	25	NA	16	NA	12	NA	NA	NA	NA	3	NA	0.01247	0.01247	NA	0.009807	NA	0.00617	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae"
"Gluconobacter"	"G"	441	32	11	1	6	NA	32	NA	10	NA	NA	13	NA	0.01645	0.005485	0.01356	0.003678	NA	0.01645	NA	0.005497	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae"
"Gluconobacter albidus"	"S"	318683	26	7	NA	4	NA	26	NA	10	NA	NA	10	NA	0.01337	0.00349	NA	0.002452	NA	0.01337	NA	0.005497	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Gluconobacter"
